id,recetteid,unit,quantite,ingredient,unit_en,quantite_en,ingredient_en
230,25,cuillère à soupe,1.0,curry,tablespoon,1.0,curry
231,25,g,700.0,boeuf,g,700.0,beef
232,25,gousse,1.0,ail,pod,1.0,garlic
233,25,cuillères à soupe,3,sauce d'huître,tablespoons,3,oyster sauce
234,25,cuillères,3.0,soja,spoons,3.0,soy
235,25,cuillère à café,1,glutamate,teaspoon,1,glutamate
236,25,,,coriandre,,,coriander
237,25,,,batavia,,,batavia
238,25,g,300.0,soja,g,300.0,soy
239,25,,,menthe,,,mint
240,25,,,arachide,,,peanut
241,25,,8.0,nems,,8.0,spring rolls
242,26,,1.0,côte de boeuf,,1.0,rib of beef
243,26,,,huile,,,oil
244,26,,,fleur de sel,,,flower of salt
245,26,,,poivre,,,pepper
246,26,brins,5.0,thym,strands,5.0,thyme
247,27,,,sel,,,salt
248,27,,,poivre,,,pepper
249,27,,,muscade,,,nutmeg
250,27,cuillère à soupe,1.0,miel,tablespoon,1.0,Honey
251,27,g,30.0,beurre,g,30.0,butter
252,27,,,huile d'olive,,,olive oil
253,27,,1.0,oignon,,1.0,onion
254,27,,5.0,tomates,,5.0,tomatoes
255,27,,2.0,aubergines,,2.0,eggplants
256,27,,6.0,pommes de terre,,6.0,potatoes
257,27,g,500,boeuf haché,g,500,ground beef
258,27,cuillère,1.0,petite cannelle,spoon,1.0,little cinnamon
259,27,cuillères à soupe,3,farine,tablespoons,3,flour
260,27,g,20,beurre,g,20,butter
261,27,,35.0,cllait,,35.0,clait
262,28,filet,1.0,huile d'olive,net,1.0,olive oil
263,28,,,sel,,,salt
264,28,,,poivre,,,pepper
265,28,g,25.0,beurre,g,25.0,butter
266,28,,1.0,rôti de porc,,1.0,roast pork
267,28,gousse,1.0,ail,pod,1.0,garlic
268,28,cl,5.0,eau,cl,5.0,water
269,29,pincée,1.0,poivre,pinch,1.0,pepper
270,29,pincée,1.0,sel,pinch,1.0,salt
271,29,brins,2.0,persil,strands,2.0,parsley
272,29,,1.0,oignon,,1.0,onion
273,29,bouillon,1.0,de légumes,broth,1.0,of vegetables
274,29,noix,1.0,beurre,nut,1.0,butter
275,29,filet,1.0,huile d'olive,net,1.0,olive oil
276,29,g,250.0,champignon,g,250.0,mushroom
277,29,g,200.0,riz,g,200.0,rice
278,29,"cl, blanc",20.0,vin sec,"cl, white",20.0,dry wine
279,29,cuillère à soupe,1,Parmesan,tablespoon,1,Parmesan
280,29,gousse,1.0,ail,pod,1.0,garlic
281,29,,1,échalote,,1,shallot
282,30,cuillère à café,1.0,persil,teaspoon,1.0,parsley
283,30,cuillères à soupe,2.0,huile d'olive,tablespoons,2.0,olive oil
284,30,,,sel,,,salt
285,30,,,poivre,,,pepper
286,30,goutte,,tabasco,drop,,tabasco
287,30,cuillère à soupe,1.0,oignon,tablespoon,1.0,onion
288,30,cuillère à café,1.0,moutarde de Dijon,teaspoon,1.0,Dijon Mustard
289,30,g,250.0,boeuf,g,250.0,beef
290,30,,1.0,jaune d'oeuf,,1.0,egg yolk
291,30,cuillère à soupe,1.0,câpres,tablespoon,1.0,capers
292,30,cuillère à café,1,sauce worcestershire,teaspoon,1,worcestershire sauce
293,30,cuillère à soupe,1.0,ketchup,tablespoon,1.0,ketchup
294,31,,,poivre,,,pepper
295,31,,,sel,,,salt
296,31,cuillères à soupe,6.0,huile d'olive,tablespoons,6.0,olive oil
297,31,,3.0,oignons,,3.0,onions
298,31,g,700.0,poivron,g,700.0,bell pepper
299,31,kg,1.0,tomate,kg,1.0,tomato
300,31,,1.0,poulet,,1.0,chicken
301,31,gousses,3.0,ail,pods,3.0,garlic
302,31,"cl, blanc",20.0,vin,"cl, white",20.0,wine
303,31,bouquet,1.0,garni,bunch,1.0,garni
304,32,,,poivre,,,pepper
305,32,,,sel,,,salt
306,32,,,farine,,,flour
307,32,petit pot,1.0,crème fraîche,small pot,1.0,sour cream
308,32,,1.0,oignon jaune,,1.0,yellow onion
309,32,,2.0,carottes,,2.0,carrots
310,32,,1.0,cube de bouillon,,1.0,bouillon cube
311,32,kg,1.0,blanquette de veau,kg,1.0,veal blanquette
312,32,bouillon,1.0,de poule,broth,1.0,chicken
313,32,petite boîte,1.0,champignon,small box,1.0,mushroom
314,32,,,citron,,,lemon
315,32,,1.0,jaune d'oeuf,,1.0,egg yolk
316,32,"cl, blanc",25,vin,"cl, white",25,wine
317,33,,,poivre,,,pepper
318,33,,,sel,,,salt
319,33,branches,2.0,thym,branches,2.0,thyme
320,33,cuillères,4.0,huile d'olive,spoons,4.0,olive oil
321,33,g,50.0,beurre,g,50.0,butter
322,33,pot,1.0,moutarde à l'ancienne,jar,1.0,old-fashioned mustard
323,33,filets,2.0,mignons,nets,2.0,cute
324,33,kg,2.0,pomme de terre,kg,2.0,potato
325,33,branches,2.0,laurier,branches,2.0,laurel
326,34,,1.0,carotte,,1.0,carrot
327,34,morceau,1.0,sucre,piece,1.0,sugar
328,34,,,sel,,,salt
329,34,,,poivre,,,pepper
330,34,,,persil,,,parsley
331,34,branche,1.0,thym,branch,1.0,thyme
332,34,feuilles,3.0,de laurier,leaves,3.0,of laurel
333,34,,,huile d'olive,,,olive oil
334,34,petit pot,1.0,crème fraîche,small pot,1.0,sour cream
335,34,,1.0,moutarde de Dijon,,1.0,Dijon Mustard
336,34,,1,lapin,,1,rabbit
337,34,"bouteille, blanc",1.0,vin sec,"bottle, white",1.0,dry wine
338,34,gousses,2,ail,pods,2,garlic
339,34,,5,échalotes,,spring onion,shallots
340,35,,,poivre,,,pepper
341,35,,,sel,,,salt
342,35,,,huile de tournesol,,,sunflower oil
343,35,,1.0,rôti de veau,,1.0,roast veal
344,35,gousses,4.0,ail,pods,4.0,garlic
345,35,boîte,1.0,champignons de Paris,box,1.0,button mushrooms
346,36,,1.0,tomate,,1.0,tomato
347,36,,,sel,,,salt
348,36,,,poivre,,,pepper
349,36,,,gruyère râpé,,,grated gruyere
350,36,cuillères à soupe,3.0,crème fraîche,tablespoons,3.0,sour cream
351,36,g,100.0,lardons,g,100.0,bacon
352,36,g,200.0,coquillettes,g,200.0,shells
353,36,,2.0,champignons de Paris,,2.0,button mushrooms
354,37,,,sel,,,salt
355,37,,,poivre,,,pepper
356,37,cuillère à soupe,1.0,farine,tablespoon,1.0,flour
357,37,g,30.0,beurre,g,30.0,butter
358,37,g,250.0,crème fraîche,g,250.0,sour cream
359,37,g,500.0,coquille saint-jacques,g,500.0,scallop shell
360,37,blanc,0.25,lvin sec,white,0.25,dry wine
361,37,,2.0,échalotes,,2.0,shallots
362,37,,2.0,oeufs,,2.0,eggs
363,37,demi,1.0,citron,half,1.0,lemon
364,37,,,chapelure,,,breadcrumbs
365,38,,,poivre,,,pepper
366,38,,,sel,,,salt
367,38,pincée,1.0,piment de Cayenne,pinch,1.0,cayenne pepper
368,38,cuillères à soupe,2.0,huile d'arachide,tablespoons,2.0,peanut oil
369,38,g,20.0,beurre,g,20.0,butter
370,38,cl,5.0,cognac,cl,5.0,cognac
371,38,,12.0,oignons,,12.0,onions
372,38,,1.0,queue,,1.0,tail
373,38,petite boîte,1.0,tomates pelées,small box,1.0,peeled tomatoes
374,38,cuillère à soupe,1.0,concentré de tomates,tablespoon,1.0,tomato paste
375,38,,4,échalotes,,4,shallots
376,38,gousse,1.0,ail,pod,1.0,garlic
377,38,"cl, blanc",20,vin sec,"cl, white",20,dry wine
378,39,,1.0,mont d'or,,1.0,mount of gold
379,39,"cl, blanc",5.0,vin,"cl, white",5.0,wine
380,40,,,poivre,,,pepper
381,40,,,sel,,,salt
382,40,g,50.0,fromage râpé,g,50.0,grated cheese
383,40,g,30.0,beurre,g,30.0,butter
384,40,cuillère à soupe,1.0,farine,tablespoon,1.0,flour
385,40,,2.0,tomates,,2.0,tomatoes
386,40,,2.0,oignons,,2.0,onions
387,40,g,300.0,purée,g,300.0,puree
388,40,g,400.0,viande hachée,g,400.0,minced meat
389,40,gousses,2.0,ail,pods,2.0,garlic
390,40,pincée,1,herbes de Provence,pinch,1,herbs of Provence
391,40,,1.0,jaune d'oeuf,,1.0,egg yolk
392,40,g,30,Parmesan,g,30,Parmesan
393,41,,1.0,noisette beurre,,1.0,hazelnut butter
394,41,pincée,1.0,muscade,pinch,1.0,nutmeg
395,41,,,poivre,,,pepper
396,41,,,sel,,,salt
397,41,g,250.0,farine,g,250.0,flour
398,41,g,500.0,pomme de terre,g,500.0,potato
399,41,,1.0,jaune d'oeuf,,1.0,egg yolk
400,42,,,muscade,,,nutmeg
401,42,,,sel,,,salt
402,42,,,poivre,,,pepper
403,42,noix,1.0,beurre,nut,1.0,butter
404,42,cl,35.0,crème fraîche,cl,35.0,sour cream
405,42,g,500.0,tagliatelles fraîches,g,500.0,fresh tagliatelle
406,42,filet,1.0,saumon frais,net,1.0,fresh salmon
407,42,,,parmesan râpé,,,grated parmesan
408,43,,2.0,oignons,,2.0,onions
409,43,,,sel,,,salt
410,43,,,poivre,,,pepper
411,43,cuillères à soupe,2.0,miel,tablespoons,2.0,Honey
412,43,cuillère à soupe,1.0,moutarde de Dijon,tablespoon,1.0,Dijon Mustard
413,43,,1.0,rôti de porc,,1.0,roast pork
414,43,gousse,1.0,ail,pod,1.0,garlic
415,43,cl,25.0,bouillon de volaille,cl,25.0,chicken broth
416,44,,,sel,,,salt
417,44,,,poivre,,,pepper
418,44,,,huile,,,oil
419,44,,0.5,oignon,,0.5,onion
420,44,,5.0,oeufs,,5.0,eggs
421,44,,,pomme de terre,,,potato
422,44,,,herbes de Provence,,,herbs of Provence
423,45,,2.0,oignons,,2.0,onions
424,45,cuillère à café,1.0,piment,teaspoon,1.0,pepper
425,45,cuillères,2.0,sucre roux,spoons,2.0,brown sugar
426,45,cuillères,2.0,vinaigre,spoons,2.0,vinegar
427,45,,,sel,,,salt
428,45,cuillères,3.0,huile,spoons,3.0,oil
429,45,g,250.0,pâtes,g,250.0,pasta
430,45,tasse,1.0,basilic,cup,1.0,basil
431,45,,3.0,escalopes de poulet,,3.0,chicken cutlets
432,45,cuillère,1.5,paprika,spoon,1.5,paprika
433,45,,3,oeufs,,3,eggs
434,45,gousses,3.0,ail,pods,3.0,garlic
435,45,cuillères,2,nuoc mam,spoons,2,fish sauce
436,45,cuillères,3,arachide,spoons,3,peanut
437,45,g,175.0,germes de soja,g,175.0,bean sprouts
438,45,feuille,,menthe,leaf,,mint
439,46,,3.0,tomates,,3.0,tomatoes
440,46,cuillères à soupe,5.0,crème fraîche,tablespoons,5.0,sour cream
441,46,,,piment de Cayenne,,,cayenne pepper
442,46,,,sel,,,salt
443,46,,,poivre,,,pepper
444,46,,2.0,oignons,,2.0,onions
445,46,,3.0,poivrons,,3.0,peppers
446,46,"kg, blanc",1.0,de poulet,"kg, white",1.0,chicken
447,46,,1.0,citron,,1.0,lemon
448,46,,15.0,fajitas,,15.0,fajitas
449,46,,,guacamole,,,guacamole
450,46,feuilles,10.0,salade,leaves,10.0,salad
451,47,,,huile de friture,,,frying oil
452,47,,,sel,,,salt
453,47,cuillère à café,1.0,coriandre,teaspoon,1.0,coriander
454,47,cuillère à café,1.0,cumin en poudre,teaspoon,1.0,cumin powder
455,47,cuillères à soupe,3.0,farine,tablespoons,3.0,flour
456,47,bouquet,1.0,persil,bunch,1.0,parsley
457,47,,1.0,oignon,,1.0,onion
458,47,g,200.0,pois chiches,g,200.0,chickpeas
459,47,g,500.0,fèves,g,500.0,beans
460,47,gousses,2.0,ail,pods,2.0,garlic
461,47,cuillère à café,1,paprika,teaspoon,1,paprika
462,47,cuillères à soupe,3.0,basilic frais,tablespoons,3.0,fresh basil
463,48,gros,,sel,fat,,salt
464,48,,,sel,,,salt
465,48,,,poivre,,,pepper
466,48,cl,10.0,vin rouge,cl,10.0,red wine
467,48,,,huile d'olive,,,olive oil
468,48,g,800.0,tomates concassées,g,800.0,crushed tomatoes
469,48,kg,1.0,aubergine,kg,1.0,eggplant
470,48,cuillères à soupe,2.0,concentré de tomates,tablespoons,2.0,tomato paste
471,48,g,250.0,mozzarella,g,250.0,Mozzarella
472,48,gousses,2.0,ail,pods,2.0,garlic
473,48,,,Parmesan,,,Parmesan
474,48,cl,10.0,eau,cl,10.0,water
475,49,,,sel,,,salt
476,49,,,poivre,,,pepper
477,49,,2.0,oignons,,2.0,onions
478,49,,4.0,piments,,4.0,peppers
479,49,,2.0,piments,,2.0,peppers
480,49,,1.0,poulet,,1.0,chicken
481,49,pot,1.0,pâte d'arachide,jar,1.0,peanut paste
482,49,g,50.0,concentré de tomates,g,50.0,tomato paste
483,49,,4.0,patates douces,,4.0,sweet potatoes
484,49,,4.0,pommes de terre,,4.0,potatoes
485,49,cuillères à café,2,marrons,teaspoons,2,chestnuts
486,49,gousses,2.0,ail,pods,2.0,garlic
487,49,,1,leau,,1,water
488,50,,2.0,oignons jaunes,,2.0,yellow onions
489,50,,,curry,,,curry
490,50,cuillère à café,1.0,gingembre,teaspoon,1.0,ginger
491,50,,4.0,escalopes de poulet,,4.0,chicken cutlets
492,50,,,lait de coco,,,coconut milk
493,50,,,champignons de Paris,,,button mushrooms
494,51,,,poivre,,,pepper
495,51,,,sel,,,salt
496,51,cuillère à café,1.0,curry,teaspoon,1.0,curry
497,51,cuillère à soupe,1.0,huile d'olive,tablespoon,1.0,olive oil
498,51,,1.0,oignon,,1.0,onion
499,51,filets,4.0,de poulet,nets,4.0,chicken
500,51,,,ail,,,garlic
501,51,cuillères à soupe,4.0,sauce soja,tablespoons,4.0,soy sauce
502,51,brins,4.0,ciboulette,strands,4.0,chives
503,51,cl,10.0,crème fraîche épaisse,cl,10.0,thick crème fraîche
504,52,g,20.0,beurre,g,20.0,butter
505,52,cuillères à soupe,4.0,farine,tablespoons,4.0,flour
506,52,"tranches, blanc",4.0,de poulet,"slices, white",4.0,chicken
507,52,tranches,8.0,bacon,slices,8.0,bacon
508,52,tranches,4.0,toastinette,slices,4.0,toastinette
509,52,cuillères à soupe,4.0,chapelure,tablespoons,4.0,breadcrumbs
510,52,,1.0,oeuf,,1.0,egg
511,53,,1.0,oeuf,,1.0,egg
512,53,,,eau,,,water
513,54,g,300.0,pâtes,g,300.0,pasta
514,54,pincées,3.0,sel,pinched,3.0,salt
515,54,pincées,6.0,poivre,pinched,6.0,pepper
516,54,cuillère à soupe,1.0,huile d'olive,tablespoon,1.0,olive oil
517,54,,6.0,jaunes d'oeuf,,6.0,egg yolks
518,54,g,500.0,pancetta,g,500.0,pancetta
519,54,g,50.0,Parmesan,g,50.0,Parmesan
520,55,,,huile,,,oil
521,55,,,sel,,,salt
522,55,,,poivre,,,pepper
523,55,cuillères à soupe,3.0,farine,tablespoons,3.0,flour
524,55,,3.0,oignons,,3.0,onions
525,55,,7.0,pommes de terre,,7.0,potatoes
526,55,,1.0,oeuf,,1.0,egg
527,56,,,poivre,,,pepper
528,56,,,sel,,,salt
529,56,g,50.0,beurre,g,50.0,butter
530,56,,1.0,poulet,,1.0,chicken
531,56,,,herbes de Provence,,,herbs of Provence
532,56,,20.0,pommes de terre,,20.0,potatoes
533,57,cuillère à soupe,1.0,coriandre,tablespoon,1.0,coriander
534,57,cuillère à soupe,1.0,cumin,tablespoon,1.0,cumin
535,57,cuillère à café,1.0,curcuma,teaspoon,1.0,turmeric
536,57,cuillère à café,1.0,chili,teaspoon,1.0,Chile
537,57,cuillère à café,1.0,sel,teaspoon,1.0,salt
538,57,g,450.0,tomate,g,450.0,tomato
539,57,g,800.0,pois chiches,g,800.0,chickpeas
540,57,,2.0,oignons,,2.0,onions
541,57,cuillère à soupe,1.0,huile de tournesol,tablespoon,1.0,sunflower oil
542,57,gousses,4.0,ail,pods,4.0,garlic
543,57,cuillères à soupe,2,pâte de curry,tablespoons,2,curry paste
544,57,cuillère à café,1.0,paprika,teaspoon,1.0,paprika
545,57,cuillère à café,1,massala,teaspoon,1,massala
546,57,,",",céréales,,,cereals
547,58,g,20.0,beurre,g,20.0,butter
548,58,g,250.0,boudin noir,g,250.0,black pudding
549,58,,3.0,pommes,,3.0,apples
550,58,,1.0,citron,,1.0,lemon
551,59,"pincée, gros",1.0,sel,"pinch, big",1.0,salt
552,59,,3.0,Magrets de Canard,,3.0,Duck Breasts
553,59,,,poivre en grains,,,peppercorns
554,60,cuillères à soupe,3.0,farine,tablespoons,3.0,flour
555,60,,1.0,oignon,,1.0,onion
556,60,g,50.0,beurre,g,50.0,butter
557,60,,,poivre,,,pepper
558,60,,,sel,,,salt
559,60,feuilles,5.0,de laurier,leaves,5.0,of laurel
560,60,branche,1.0,thym,branch,1.0,thyme
561,60,,1.0,oignon,,1.0,onion
