id,title,url,rate,Tag1,Tag2,Tag3,Tag4,Tag5,difficulty,steps,budget,people,prep_time,cooking_time,total_time,images
1571,La salade piémontaise de Jean-Pierre,https://www.marmiton.org/recettes/recette_la-salade-piemontaise-de-jean-pierre_25605.aspx,4.9,salade,Salade de pomme de terre,,,,très facile,"[""Faire cuire les pommes de terre à l'eau et les éplucher."", ""Faire cuire dans le même temps les oeufs pour qu'ils deviennent durs soit 10 min. Les mettre dans l'eau froide pour qu'ils s'écalent plus facilement."", 'Couper les tomates, le jambon et les pommes de terre en dés. Les mettre dans un saladier et ajouter les oeufs durs ainsi que les cornichons coupés en rondelles.', 'Pour la sauce :', 'Faire une vinaigrette bien relevée et délayer avec au moins 2 grosses cuillères à soupe de mayonnaise. Arroser votre salade de cette sauce.', ""Mélanger et laisser au réfrigérateur pour que les pommes de terre s'imprègnent de sauce.""]",bon marché,4,45,30,75,['https://static.afcdn.com/relmrtn/lazyload.png']
1572,Oeufs mollets de ma grand-mère,https://www.marmiton.org/recettes/recette_oeufs-mollet-de-ma-grand-mere-facile_197487.aspx,4.8,entrée,entrée chaude,oeufs cuits,,,facile,"[""Faire bouillir dans une casserole de l'eau salée ou citronnée."", ""Laisser les œufs à température ambiante 1/2 h avant afin d’éviter la fêlure de la coquille avec l'eau chaude."", ""Déposer délicatement l’œuf dans l'eau frémissante et laisser 5 à 6 min."", 'Le retourner une ou deux fois de façon à avoir une cuisson homogène.', ""Retirer l’œuf de l'eau, le casser dans une assiette et apprécier avec une pointe de sel et quelques mouillettes de pain de campagne avec du beurre demi-sel."", 'Vous pouvez le servir en plat avec une bonne salade verte, des lardons et quelques tomates cerises.', 'Bon appétit.']",bon marché,4,2,6,8,['https://static.afcdn.com/relmrtn/lazyload.png']
1573,Salade composée facile,https://www.marmiton.org/recettes/recette_salade-composee-facile_58483.aspx,4.3,entrée,entrée facile,,,,très facile,"['Laver la laitue. Mettre les feuilles dans un saladier.', 'Cuire les œufs.', 'Ajouter sur la salade les dés de fromages, les tomates cerises, les dés de jambon, les olives noires et les œufs durs coupés en quartiers.', 'Faire une vinaigrette dans un bol à part.']",bon marché,4,10,6,16,"['https://assets.afcdn.com/recipe/20200907/113936_w314h314c1cx2750cy1833cxt0cyt0cxb5501cyb3667.webp', 'https://assets.afcdn.com/recipe/20200907/113937_w314h314c1cx1920cy2880cxt0cyt0cxb3840cyb5760.webp', 'https://assets.afcdn.com/recipe/20120129/24672_w314h314c1cx192cy256.webp']"
1574,Salade grecque,https://www.marmiton.org/recettes/recette_salade-grecque_34399.aspx,4.7,salade,salade grecque,,,,très facile,"['Découper les tomates en petits dés et les mettre dans un saladier.', 'Ajouter le concombre, le poivron vert et les olives.', ""Mélanger avec la moitié de l'oignon et la feta coupée en dés."", ""Disposer sur le dessus de la salade les restes d'oignon et de feta."", ""Ajouter le zeste et le jus de citron, assaisonner avec l'huile et l'origan, sel poivre. Mélanger délicatement et servir.""]",bon marché,4,20,0,20,"['https://assets.afcdn.com/recipe/20190704/94666_w314h314c1cx2689cy1920cxt0cyt0cxb5378cyb3840.webp', 'https://assets.afcdn.com/recipe/20200503/110408_w314h314c1cx960cy540cxt0cyt0cxb1920cyb1080.webp', 'https://assets.afcdn.com/recipe/20190704/94669_w314h314c1cx2250cy1500cxt0cyt0cxb4500cyb3000.webp']"
1575,Pain (rapide),https://www.marmiton.org/recettes/recette_pain-rapide_14672.aspx,4.3,entrée,entrée rapide,,,,facile,"[""Mélangez la farine, l'huile d'olive, le sachet de levure, le sel et ajoutez l'eau. Malaxez jusqu'à l'obstention d'une pâte homogène. Le geste est important: faites comme si vous étiez en train de plier un mouchoir avec la pâte."", ""Attention la pâte ne doit pas coller à la paroi! Rajoutez de la farine si elle colle, ou de l'eau si elle est trop sèche."", 'Prenez un moule à cake et tapissez de papier cuisson, mettez le pain, faites les croisillons avec un couteau pointu.', 'Prenez  un torchon propre, mouillez-le et mettez-le sur le pain.', 'Attendez une heure que la pâte soit levée.\nPendant ce temps-là, préchauffez le four à thermostat 7 ou à 220°C pendant 20 mn environ.', 'Enfournez pendant 40 mn.']",bon marché,4,30,40,70,"['https://assets.afcdn.com/recipe/20180628/79995_w314h314c1cx1944cy2592cxt0cyt0cxb3888cyb5184.webp', 'https://assets.afcdn.com/recipe/20131023/45431_w314h314c1cx2464cy1632.webp', 'https://assets.afcdn.com/recipe/20130915/37646_w314h314c1cx1632cy1224.webp']"
1576,Cake salé au jambon et aux olives,https://www.marmiton.org/recettes/recette_cake-sale-au-jambon-et-aux-olives_18876.aspx,4.8,apéritif ou buffet,apéritif dînatoire,cake salé apéritif,,,facile,"['Préchauffer le four à 180°C (thermostat 6).', 'Couper les olives en rondelles.', 'Verser les oeufs dans la farine et mélanger.', ""Ajouter le lait et l'huile puis mélanger."", 'Ajouter le jambon, les olives et le gruyère puis mélanger.', 'Ajouter la levure et, pour ne pas changer, mélanger.', 'Mettre le tout dans un plat à cake au préalable beurré et placer au four 45 min.']",moyen,4,20,45,65,"['https://assets.afcdn.com/recipe/20130206/48875_w314h314c1cx862cy997.webp', 'https://assets.afcdn.com/recipe/20100120/42671_w314h314c1cx256cy192.webp', 'https://assets.afcdn.com/recipe/20140126/45227_w314h314c1cx768cy1028.webp']"
1577,Bruschetta (Italie),https://www.marmiton.org/recettes/recette_bruschetta-italie_11272.aspx,4.3,"pizza, tarte, quiche",tarte salée,bruschetta,,,très facile,"[""Découper les tomates en petits dés après avoir retiré la partie verte en haut, les mettre dans un petit saladier avec une bonne huile d'olive et du sel."", ""Faire griller les tranches de pain de campagne, puis les frotter d'ail."", ""Disposer le mélange tomate/huile d'olive généreusement sur la tartine, à déguster aussitôt (tiède).""]",bon marché,4,15,0,15,"['https://assets.afcdn.com/recipe/20170112/42222_w314h314c1cx1500cy1000.webp', 'https://assets.afcdn.com/recipe/20200518/111364_w314h314c1cx1920cy2880cxt0cyt0cxb3840cyb5760.webp', 'https://assets.afcdn.com/recipe/20200518/111363_w314h314c1cx2880cy1920cxt0cyt0cxb5760cyb3840.webp']"
1578,Le vrai taboulé libanais,https://www.marmiton.org/recettes/recette_le-vrai-taboule-libanais_26796.aspx,4.7,salade,Taboulé,,,,facile,"[""Avant de commencer mettre une poignée de boulghour dans un bol d'eau pendant 15 mn et laisser ramollir."", ""Laver et équeuter le persil, puis le couper au couteau (ou aux ciseaux si l'on préfère)."", ""Répéter l'opération avec la menthe, vous devez obtenir des feuilles d'1 cm environ."", 'Mettre le tout dans un saladier.', 'Couper les oignons verts très fins, les tomates en petits dés, et mettre le tout dans le saladier.', ""Lorsque le boulghour ne croque plus, le sortir de l'eau, et le presser entre les mains pour l'essorer. Le mettre dans le saladier avec le reste."", ""Assaisonnement : presser 1 citron entier et arroser le contenu du saladier. Ajouter le sel et les 3 cuillères à soupe d'huile d'olive."", ""L'aspect du taboulé doit être brillant, pour indiquer qu'il y a suffisamment d'huile d'olive.""]",bon marché,4,25,0,25,"['https://assets.afcdn.com/recipe/20190704/94650_w314h314c1cx3288cy2192cxt0cyt0cxb6577cyb4384.webp', 'https://assets.afcdn.com/recipe/20190704/94646_w314h314c1cx1872cy2808cxt0cyt0cxb3744cyb5616.webp', 'https://assets.afcdn.com/recipe/20190704/94649_w314h314c1cx2736cy1726cxt0cyt0cxb5472cyb3453.webp']"
1579,Salade de concombres à la crème fraîche,https://www.marmiton.org/recettes/recette_salade-de-concombres-a-la-creme-fraiche_15097.aspx,4.4,salade,salade grecque,,,,très facile,"['Pelez le concombre et coupez-le en fines rond elles. Faites-le dégorger avec du sel.', ""Mélangez 3 cuillères à soupe de crème avec 1 cuillère d'huile d'olive... Salez, poivrez et ajoutez 1 touche de basilic."", ""Une fois le concombre dégorgé, mélangez-le avec la sauce. C'est prêt.""]",bon marché,4,15,0,15,"['https://assets.afcdn.com/recipe/20200831/113618_w314h314c1cx960cy540cxt0cyt0cxb1920cyb1080.webp', 'https://assets.afcdn.com/recipe/20200831/113619_w314h314c1cx540cy960cxt0cyt0cxb1080cyb1920.webp', 'https://assets.afcdn.com/recipe/20111111/42870_w314h314c1cx256cy192.webp']"
1580,Tarte à la courgette et au chèvre,https://www.marmiton.org/recettes/recette_tarte-a-la-courgette-et-au-chevre_11479.aspx,4.4,"pizza, tarte, quiche",tarte salée,tarte aux légumes,,,moyenne,"[""Éplucher les courgettes. Les couper en tronçon de 1,5 cm environ. Les faire revenir dans une poêle préalablement huilée (huile d'olive de préférence)."", ""Saler et poivrer, saupoudrer d'herbes de Provence. Préchauffer votre four à 200°C (thermostat 6-7)."", ""Garnir le moule à tarte avec la pâte. Ranger dessus les tronçons de courgettes. Couper le chèvre en tranches d'1/2 cm et les poser régulièrement sur les courgettes."", 'Combler avec le reste des rondelles de courgettes.', 'Mélanger la crème avec les œufs, saler et mélanger le tout. Ajouter un peu de lait.', 'Recouvrir la tarte avec cette préparation.', 'Faire cuire pendant 30 à 40 min.', 'Manger de préférence tiède.']",moyen,4,20,40,60,"['https://assets.afcdn.com/recipe/20161116/30129_w314h314c1cx1536cy2304.webp', 'https://assets.afcdn.com/recipe/20110602/32071_w314h314c1cx256cy192.webp', 'https://assets.afcdn.com/recipe/20180508/79045_w314h314c1cx1684cy1683cxt0cyt0cxb3368cyb3367.webp']"
1581,Salade Niçoise : l'authentique Niçoise,https://www.marmiton.org/recettes/recette_salade-nicoise-l-authentique-nicoise_30330.aspx,4.6,salade,salade nicoise,,,,très facile,"['Pour réaliser la salade niçoise, il suffit de rassembler tous les ingrédients, puis de procéder de la manière suivante...', ""Faire durcir les oeufs (6 à 8 minutes après ébullition de l'eau), puis les faire bien refroidir à l'eau froide."", 'Hacher les cébettes et les disposer au fond du plat.', 'Ajouter les févettes, le poivron vert finement coupé, les radis coupés en rondelles et le thon bien égouté et émietté. Mélanger grossièrement tous ces ingrédients avec du sel et du poivre.', ""Couper les tomates en fines rondelles et les ajouter ainsi que les artichauts Couper les oeufs durs en quartiers et les disposer sur le dessus et ajouter les filets d'anchois, les olives noires et le basilic finement ciselé."", ""Enfin, saupoudrer de sel et de poivre, puis arroser d'huile d'olive et de vinaigre de vin."", 'Mettre au frais 1 heure et bien mélanger la salade juste avant de la servir.']",bon marché,4,20,8,28,"['https://assets.afcdn.com/recipe/20190704/94687_w314h314c1cx3008cy2008cxt0cyt0cxb6016cyb4016.webp', 'https://assets.afcdn.com/recipe/20200512/110991_w314h314c1cx2880cy1920cxt0cyt0cxb5760cyb3840.webp', 'https://assets.afcdn.com/recipe/20200512/110992_w314h314c1cx1920cy2880cxt0cyt0cxb3840cyb5760.webp']"
1582,Caviar d'aubergines,https://www.marmiton.org/recettes/recette_caviar-d-aubergines_17847.aspx,3.8,apéritif ou buffet,apéritif dînatoire,dip et tartinade,,,facile,"[""Cuire les aubergines à l'eau bouillante, avec 3 petites cuillères de sel, pendant 10-15 mn jusqu'à ce qu'elles soient tendres."", ""Les retirer, et les laisser égoutter et refroidir dans une passoire. Les hacher très finement jusqu'à ce qu'elles prennent une consistance crémeuse."", ""Chauffer l'huile dans une poêle et y faire revenir l'aubergine avec l'ail. Saler et poivrer, ajouter le paprika et la marjolaine."", ""Mélanger et faire réduire à feu doux, en remuant fréquemment avec une spatule de bois jusqu'à obtention d'une purée."", ""Verser dans un plat, arroser d'un peu d'huile d'olive, saupoudrez de cumin, garnir d'olives et servir.""]",bon marché,4,15,45,60,"['https://assets.afcdn.com/recipe/20181123/84194_w314h314c1cx2880cy1920cxt0cyt0cxb5758cyb3833.webp', 'https://assets.afcdn.com/recipe/20180705/80249_w314h314c1cx1944cy2592cxt0cyt0cxb3888cyb5184.webp', 'https://assets.afcdn.com/recipe/20120921/65946_w314h314c1cx256cy192.webp']"
1583,Pissaladière,https://www.marmiton.org/recettes/recette_pissaladiere_20407.aspx,4.5,"pizza, tarte, quiche",tarte salée,pissaladière,,,très facile,"[""Dans une grande poêle profonde faire chauffer 5 cuillères à soupe d'huile d'olive."", 'Couper les oignons en rondelles.', ""Une fois que l'huile est chaude vous pouvez mettre les oignons dans la poêle, ajoutez du poivre, les herbes de Provence et le sucre en poudre. Il ne faut surtout pas mettre de sel car il y aura les anchois. Le sucre est indispensable pour enlever l'acidité de l'oignon."", ""Faites revenir les oignons jusqu'à que leur couleur soit légèrement jaune. Il ne faut pas qu'ils reviennent de trop car ils vont encore cuire dans le four."", ""Le secret de la Pissaladière est là. Il faut garder quelques filets d'anchois et mettre le reste dans la poêle avec les oignons. Les anchois vont fondre à la chaleur et se mélanger aux oignons. Si vous pouvez ajouter une cuillère à soupe de l'huile des anchois dans la préparation ce sera meilleur."", ""Vous pouvez étaler la pâte à pain sur une plaque de four huilée à l'huile d'olive."", 'Versez votre préparation sur la pâte et mettez des anchois et des olives pour la décoration.', 'Préchauffez votre four à 220°C et mettre ensuite la pissaladière.', 'Pour le temps de cuisson dès que la pâte à pain est cuite (voir aux bords de la pâte) vous pouvez sortir votre pissaladière.', 'Il faut laisser la pissaladière refroidir car elle se déguste froide.', ""Vous pouvez l'accompagner d'une salade frisée et d'un Bandol rosé c'est excellent.""]",moyen,4,30,45,75,"['https://assets.afcdn.com/recipe/20160517/22244_w314h314c1cx2000cy3000.webp', 'https://assets.afcdn.com/recipe/20160517/22245_w314h314c1cx2000cy3000.webp', 'https://assets.afcdn.com/recipe/20160517/22246_w314h314c1cx3000cy2000.webp']"
1584,Wraps,https://www.marmiton.org/recettes/recette_wraps_201100.aspx,4.8,,,,,,facile,"[""Commencer par mélanger la farine et le sel puis ajouter l'huile d'olive et mélanger le tout."", ""Incorporer peu à peu l'eau et pétrir jusqu'à l'obtention d'une boule de pâte (si la pâte est réalisée au robot, celle-ci doit se décoller des parois)."", ""Former 8 petites boules de tailles égales et laisser lever 30 min environ couvert d'un linge humide."", ""Étaler les boules en galettes très fines (c'est là que réside la difficulté, les galettes doivent être extrêmement fines)."", 'Faire chauffer une poêle à feu vif et faire cuire les galettes 30 secondes de chaque côté (en général, après la deuxième galette, 20 secondes par face suffisent).', 'Laisser refroidir et farcir avec la garniture de votre choix. Rouler la galette et tailler en biseau les extrémités.']",bon marché,4,10,4,14,"['https://assets.afcdn.com/recipe/20221013/136079_w314h314c1cx3072cy1728cxt0cyt0cxb6144cyb3456.webp', 'https://assets.afcdn.com/recipe/20140530/66778_w314h314c1cx1024cy1024.webp', 'https://assets.afcdn.com/recipe/20140530/66777_w314h314c1cx965cy1024.webp']"
1585,Tortilla facile (Espagne),https://www.marmiton.org/recettes/recette_tortilla-facile-espagne_16245.aspx,4.4,plat principal,œufs,omelette,,,très facile,"['Battez les oeufs en omelette dans un saladier en ajoutant le sel, le poivre et les herbes de provence.', ""Coupez l'oignon en fines lamelles, les pommes de terre en carrés et réservez."", ""Faites chauffer de l'huile dans une poêle, lorsque l'huile est chaude y faire cuire les pommes de terre à feu doux et les dorer en fin de cuisson (vérifier avec la pointe d'une fourchette) à feu moyen."", 'Ajoutez et faites rissoler les oignons.', 'Verser les oeufs battus en omelette sur la poêle.', ""Retournez l'omelette comme vous pouvez sur l'autre face (soit à l'aide d'une assiette, soit en la découpant en quatre morceaux et en les retournant avec une spatule) et cuisez-la."", 'Cette omelette se déguste aussi bien chaude que froide.']",bon marché,4,15,20,35,"['https://assets.afcdn.com/recipe/20200512/110960_w314h314c1cx2880cy1920cxt0cyt0cxb5760cyb3840.webp', 'https://assets.afcdn.com/recipe/20200512/110961_w314h314c1cx1920cy2880cxt0cyt0cxb3840cyb5760.webp', 'https://assets.afcdn.com/recipe/20160719/61487_w314h314c1cx1500cy996.webp']"
1586,Falafel (croquettes de pois chiches),https://www.marmiton.org/recettes/recette_falafel-croquettes-de-pois-chiches_23038.aspx,4.1,plat principal,viande,boulettes de viande,,,moyenne,"[""Faites tremper les pois chiches et les fèves dans l'eau 12 h, les égoutter et les cuire 45 mn à l'auto cuiseur."", 'Peler oignon et ail, les hacher ainsi que le persil.', 'Passer les fèves et les pois chiches au mixer (ou robot).', ""Mélanger avec le persil, l'oignon, l'ail, la farine, les épices, le sel."", ""Pétrissez le tout avec vos mains en ajoutant un peu d'eau si nécessaire. Rassemblez la pâte et laisser reposer au réfrigérateur pendant minimum 30 mn."", ""Façonner une trentaine de boulettes de la grosseur d'une pièce de 2 euros."", 'Les faire frire 2/3 mn puis les égoutter sur du papier absorbant.', 'Servir chaud ou froid avec des petites sauces tomates aux herbes, ou sauces yaourts.']",bon marché,4,1,20,21,"['https://assets.afcdn.com/recipe/20170124/571_w314h314c1cx1500cy1000.webp', 'https://assets.afcdn.com/recipe/20200622/112091_w314h314c1cx2880cy1920cxt0cyt0cxb5760cyb3840.webp', 'https://assets.afcdn.com/recipe/20200622/112092_w314h314c1cx1815cy2723cxt0cyt0cxb3631cyb5446.webp']"
